IN_FID,NEAR_FID,NEAR_DIST,NEAR_DIST_KILOMETERS,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,FID_,a_DATEADDE,NewsDate,GLOBALEVEN,ActionGeo_,ActionGeo1,ActionGe_1,ActionGe_2,SQLDATE,SOURCEURL
0,3,508240.74018800000,508.24074018800,180,-75.70000000000,35.10000000000,-81.07400000000,33.99350000000,-102.43909828400,3,20190901000000,9/1/2019,869664885,US,3,33.99350000000,-81.07400000000,20190901,https://www.12newsnow.com/article/news/state-of-emergency-south-carolina-hurricane-dorian/502-0054e1f5-7ed3-4fd2-83d3-117dc73e0495
0,0,714442.20273700000,714.44220273700,253,-75.70000000000,35.10000000000,-81.44840000000,30.85110000000,-129.65175528000,0,20190901000000,9/1/2019,869664668,US,3,30.85110000000,-81.44840000000,20190901,http://www.therepublic.com/2019/08/31/tropical-weather-the-latest-5/
0,2,714442.20273700000,714.44220273700,253,-75.70000000000,35.10000000000,-81.44840000000,30.85110000000,-129.65175528000,2,20190901000000,9/1/2019,869664670,US,3,30.85110000000,-81.44840000000,20190901,https://siouxcityjournal.com/travel/the-latest-home-improvement-stores-get-ready-for-dorian/article_202dd13e-ceb8-5066-85aa-d01feb67fa5e.html
0,8,803358.43300600000,803.35843300600,302,-75.70000000000,35.10000000000,-84.29630000000,33.77480000000,-98.08666352610,8,20190901000000,9/1/2019,869665716,US,3,33.77480000000,-84.29630000000,20190901,https://www.unilad.co.uk/news/zombie-filmed-biting-uber-driver-in-shocking-attack/
0,7,893446.56747900000,893.44656747900,358,-75.70000000000,35.10000000000,-82.14010000000,29.18720000000,-135.41996501700,7,20190901000000,9/1/2019,869664310,US,3,29.18720000000,-82.14010000000,20190901,https://www.ocala.com/news/20190831/hurricane-dorian-as-some-evacuate-wwii-vet-goes-his-own-way/1
0,4,1018180.48600000000,1018.18048600000,442,-75.70000000000,35.10000000000,-80.05340000000,26.71530000000,-154.73218471700,4,20190901000000,9/1/2019,869664333,US,3,26.71530000000,-80.05340000000,20190901,https://www.eveningtimes.co.uk/news/17872823.hurricane-dorian-menaces-bahamas-en-route-florida/
0,1,1040724.00273000000,1040.72400273000,462,-75.70000000000,35.10000000000,-80.44980000000,26.65030000000,-152.87775204000,1,20190901000000,9/1/2019,869665777,US,3,26.65030000000,-80.44980000000,20190901,https://news.yahoo.com/trumps-florida-mar-lago-resort-145748480.html
0,5,1082304.22916000000,1082.30422916000,490,-75.70000000000,35.10000000000,-80.14340000000,26.12230000000,-155.65843808300,5,20190901000000,9/1/2019,869664332,US,3,26.12230000000,-80.14340000000,20190901,https://www.heraldmailmedia.com/news/nation/tropical-storm-watch-issued-for-parts-of-florida/article_0811e681-2c41-5eb3-9c43-259a9a5fb12f.html
0,6,1119970.42523000000,1119.97042523000,518,-75.70000000000,35.10000000000,-80.19370000000,25.77430000000,-156.16294049200,6,20190901000000,9/1/2019,869666082,US,3,25.77430000000,-80.19370000000,20190901,https://www.newsmax.com/headline/tropical-weather/2019/08/31/id/930728/
0,11,285698.60306800000,285.69860306800,86,-75.70000000000,35.10000000000,-78.81470000000,35.42520000000,-81.84788477960,11,20190901001500,9/1/2019,869667450,US,3,35.42520000000,-78.81470000000,20190901,https://lmtribune.com/nation/hurricane-dorian-shifts-dramatically-heightening-concerns-in-the-carolinas/article_ab71fcd2-15c0-591b-8693-a4fd15321391.html
