COUNTYNS,FREQUENCY,COUNT_COUN,TweetTotal,GdeltTotal,Tweets_GdeltSum,TweetSep1,TweetSep2,TweetSep3,TweetSep4,TweetSep5,TweetSep6,GdeltSep1,GdeltSep2,GdeltSep3,GdeltSep4,GdeltSep5,GdeltSep6
00161527,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161528,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161534,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161535,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161540,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161545,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161552,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161556,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161559,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161560,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161561,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161566,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161582,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00161583,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00293656,1,1,165,115,280,23,46,41,39,11,5,18,17,20,28,23,9
00294452,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295724,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295725,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
00295726,1,1,33,6,39,7,5,7,9,4,1,0,0,3,2,0,1
00295727,1,1,3,69,72,1,1,1,0,0,0,2,16,19,16,9,7
00295728,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
00295729,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
00295730,1,1,25,8,33,2,7,6,9,1,0,1,3,2,0,0,2
00295731,1,1,0,4,4,0,0,0,0,0,0,2,1,1,0,0,0
00295732,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295733,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295734,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0
00295735,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295736,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295737,1,1,11,3,14,2,7,1,1,0,0,0,0,0,0,1,2
00295738,1,1,27,28,55,10,5,3,2,4,3,5,6,8,3,4,2
00295739,1,1,34,7,41,8,16,4,0,3,3,2,0,3,1,0,1
00295740,1,1,2,1,3,1,0,1,0,0,0,0,1,0,0,0,0
00295741,1,1,53,9,62,17,24,8,1,2,1,0,2,3,3,1,0
00295742,1,1,5,1,6,1,3,0,1,0,0,0,0,0,0,0,1
00295743,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295744,1,1,27,8,35,3,9,9,3,1,2,3,2,1,2,0,0
00295745,1,1,121,22,143,31,34,33,10,9,4,4,2,9,4,2,1
00295746,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00295747,1,1,75,12,87,18,23,20,11,3,0,1,4,1,2,1,3
00295748,1,1,63,17,80,17,20,13,12,1,0,2,9,3,0,1,2
00295749,1,1,381,109,490,73,104,122,55,22,5,15,28,23,26,10,7
00295750,1,1,620,258,878,134,190,156,92,35,13,41,68,46,51,36,16
00295751,1,1,7,0,7,4,1,2,0,0,0,0,0,0,0,0,0
00295752,1,1,6,12,18,0,1,0,1,0,4,1,5,2,1,2,1
00295753,1,1,574,93,667,155,228,120,35,18,18,12,23,22,12,12,12
00295754,1,1,23,9,32,4,8,7,3,1,0,1,1,3,1,2,1
00295755,1,1,722,697,1419,241,243,138,49,27,24,116,143,116,120,110,92
00295756,1,1,9,4,13,2,4,2,0,1,0,1,1,1,0,1,0
00295757,1,1,229,55,284,73,78,46,13,14,5,6,12,12,8,11,6
00295758,1,1,78,26,104,17,33,11,5,6,6,3,2,9,5,4,3
00295759,1,1,15,7,22,4,6,1,2,2,0,2,2,2,1,0,0
00295760,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0
00295761,1,1,658,215,873,191,270,136,37,14,9,45,58,49,14,18,31
00295762,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
00303633,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00303634,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00303665,1,1,96,12,108,29,25,24,14,3,1,0,1,1,6,4,0
00306909,1,1,2,3,5,1,1,0,0,0,0,1,0,1,0,1,0
00306910,1,1,3,14,17,2,1,0,0,0,0,0,4,3,5,2,0
00306911,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00306912,1,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0
00306913,1,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0
00306914,1,1,3,7,10,0,2,1,0,0,0,3,2,2,0,0,0
00306915,1,1,9,5,14,4,3,1,0,1,0,1,0,0,4,0,0
00306916,1,1,79,4,83,24,22,17,8,5,3,1,1,0,0,1,1
00306917,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00306918,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
00306919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00306920,1,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
00306921,1,1,217,88,305,34,62,52,56,5,8,11,22,17,19,13,6
00306922,1,1,18,19,37,5,4,2,6,0,1,1,0,3,5,6,4
00307624,1,1,95,48,143,19,25,30,20,1,0,8,18,9,5,6,2
00307626,1,1,5,5,10,0,4,1,0,0,0,1,1,3,0,0,0
00308371,1,1,75,20,95,6,20,20,21,5,3,2,8,4,2,4,0
00308372,1,1,107,34,141,34,32,35,5,1,0,6,2,13,6,3,4
00308547,1,1,79,21,100,14,13,16,32,3,1,1,4,4,2,7,3
